Mfg_Part_Num,Column_Name,Expected_Value,Actual_Value,Match_Status,Is_Match
PDSH4816AF,MFR URL,https://www.frigidaire.com/en/p/owner-center/product-support/PDSH4816AF,https://www.frigidaire.com/en/p/owner-center/product-support/PDSH4816AF,EXACT_MATCH,True
PDSH4816AF,Ref URL 1,,,BLANK_MATCH,True
PDSH4816AF,Ref URL 2,,,BLANK_MATCH,True
PDSH4816AF,Ref URL 3,,,BLANK_MATCH,True
PDSH4816AF,Ref URL 4,,,BLANK_MATCH,True
PDSH4816AF,Ref URL 5,,,BLANK_MATCH,True
PDSH4816AF,PART_NUMBER,20887830,1515863,VALUE_MISMATCH,False
PDSH4816AF,Dept,Appliances,Appliances,EXACT_MATCH,True
PDSH4816AF,Class,Large Appliances,Large Appliances,EXACT_MATCH,True
PDSH4816AF,Fine,Dishwashers,Dishwashers,EXACT_MATCH,True
PDSH4816AF,SKU - MY_PART_NUMBER,1515863,1515863,EXACT_MATCH,True
PDSH4816AF,Mfg_Part_Num,PDSH4816AF,PDSH4816AF,EXACT_MATCH,True
PDSH4816AF,Part_Desc,PDSH4816AF Dishwasher SS - Display Only,PDSH4816AF Dishwasher SS - Display Only,EXACT_MATCH,True
PDSH4816AF,E1_Brand,-- Unbranded --,-- Unbranded --,EXACT_MATCH,True
PDSH4816AF,Unilog_Brand,-- No Unilog Brand --,-- No Unilog Brand --,EXACT_MATCH,True
PDSH4816AF,DIB_Brand,-- No DIB Brand --,-- No DIB Brand --,EXACT_MATCH,True
PDSH4816AF,Part_Manuf,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative (APPDE),EXACT_MATCH,True
PDSH4816AF,MANUFACTURER_NAME,Rheem Manufacturing,Frigidaire,VALUE_MISMATCH,False
PDSH4816AF,BRAND_NAME,FRIGIDAIRE®,FRIGIDAIRE®,EXACT_MATCH,True
PDSH4816AF,TRADE_NAME,,,BLANK_MATCH,True
PDSH4816AF,MANUFACTURER_PART_NUMBER,PDSH4816AF,PDSH4816AF,EXACT_MATCH,True
PDSH4816AF,ALTERNATE_PART_NUMBER,,,BLANK_MATCH,True
PDSH4816AF,Classpath,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,EXACT_MATCH,True
PDSH4816AF,MOBILE_DESC,"Rheem Manufacturing FRIGIDAIRE, Dishwasher, Professional Series, PDSH4816AF","Frigidaire, Dishwasher, Professional Series, PDSH4816AF",VALUE_MISMATCH,False
PDSH4816AF,INVOICE_DESC,DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,EXACT_MATCH,True
PDSH4816AF,SHORT_DESC,"FRIGIDAIRE® Professional Series PDSH4816AF Dishwasher With CleanBoost™, Leg Mounting, 5-Wash Cycle, Stainless Steel","FRIGIDAIRE® Professional Series PDSH4816AF Dishwasher With CleanBoost™, Leg Mounting, 5-Wash Cycle, Stainless Steel",EXACT_MATCH,True
